Year,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,TotalHours
1956,5,4,0,0,0,0,0,0,191.42
1957,4,9,1,1,2,2,0,1,295.75
1958,4,5,0,0,1,0,0,0,214.08
1959,1,1,0,0,0,0,0,0,36.58
1960,11,7,0,2,2,2,1,1,432.58
1961,6,7,1,2,1,0,1,1,192.92
1962,4,3,0,1,1,0,1,1,158.17
1963,4,5,0,0,1,0,0,0,175.83
1964,11,14,1,3,5,3,3,2,570.25
1965,7,6,0,0,1,1,0,0,239.67
1966,6,5,0,0,2,2,0,0,284.67
1967,8,6,0,0,2,1,0,0,339.17
1968,7,7,0,1,1,0,1,1,290.17
1969,4,2,0,0,0,0,0,0,110.25
1970,6,8,2,1,2,0,0,0,286.75
1971,9,10,1,3,2,2,1,1,323.42
1972,8,6,0,0,1,1,0,0,288.33
1973,8,6,1,1,1,0,1,0,416.83
1974,12,10,0,0,2,1,1,0,525.33
1975,8,6,1,0,0,1,1,1,292.33
1976,6,6,0,0,1,2,0,0,351.5
1977,8,6,0,0,1,0,0,0,395.17
1978,8,9,1,1,3,2,0,0,462.17
1979,5,5,1,0,2,2,1,1,281.25
1980,10,8,0,0,1,1,0,0,414.08
1981,5,4,0,0,1,1,0,0,202.33
1982,7,4,0,0,0,0,0,0,247.58
1983,8,7,0,1,2,2,1,1,289.7
1984,6,6,0,0,1,0,0,0,280.03
1985,5,4,1,0,0,1,0,0,193.58
1986,6,7,0,1,1,0,0,0,305.0
1987,6,1,0,0,0,0,0,0,165.75
1988,6,4,0,0,0,0,0,0,204.17
1989,7,8,0,0,2,2,0,0,306.17
1990,6,4,0,0,0,0,0,0,245.17
1991,8,6,0,0,1,1,0,0,349.92
1992,5,5,0,0,1,1,0,0,167.08
1993,8,9,0,0,2,4,0,0,325.67
1994,4,3,0,0,0,0,0,0,138.17
1995,8,6,2,2,1,1,0,0,348.83
1996,7,2,0,0,0,1,0,0,189.0
1997,2,3,0,1,1,0,1,0,97.5
1998,5,2,0,0,0,0,0,0,188.58
1999,10,13,4,3,2,0,2,1,520.0
2000,7,3,0,0,0,0,0,0,329.08
2001,6,6,1,1,2,1,0,0,253.58
2002,3,2,0,0,0,1,0,0,144.42
2003,4,5,1,1,1,1,1,0,158.0
2004,3,2,1,1,1,0,0,0,77.58
2005,3,1,0,0,0,0,0,0,142.75
2006,10,3,0,0,0,0,0,0,317.83
2007,4,3,0,1,0,0,0,0,86.83
2008,8,9,2,2,3,2,1,0,347.0
2009,13,9,1,1,1,2,1,0,255.5
2010,8,3,0,0,0,0,0,0,220.0
2011,8,5,0,0,0,1,0,0,213.0
2012,9,7,0,0,2,3,1,1,252.75
2013,10,7,1,1,0,1,0,0,292.83
2014,6,3,0,0,0,1,0,0,145.75
2015,4,3,1,0,0,0,0,0,136.83
2016,11,7,2,2,0,0,0,0,283.0
2017,12,11,2,1,3,2,1,1,259.67
2018,12,7,0,0,1,1,1,1,422.42
2019,7,3,0,0,1,0,0,0,177.42
2020,6,7,0,0,2,1,1,0,194.75
2021,9,6,0,0,1,1,0,0,282.83
2022,8,8,1,0,2,3,0,0,315.17
2023,8,6,1,0,3,2,2,1,349.67
2024,11,7,0,0,2,0,0,0,380.17
